2026-05-20 15:46:19 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-20 15:46:19 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-20 15:46:19 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-20 15:46:20 | INFO     | __main__:125 | API pronta.
2026-05-20 15:46:21 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-20 15:50:52 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-20 16:16:29 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-20 16:16:29 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-20 16:16:29 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-20 16:16:30 | INFO     | __main__:125 | API pronta.
2026-05-20 16:16:30 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-20 16:22:18 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-20 16:38:41 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-20 16:38:41 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-20 16:38:41 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-20 16:38:42 | INFO     | __main__:125 | API pronta.
2026-05-20 16:38:43 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-20 16:40:06 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-20 17:05:47 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-20 17:05:47 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-20 17:05:47 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-20 17:05:48 | INFO     | __main__:125 | API pronta.
2026-05-20 17:05:49 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-20 17:06:11 | INFO     | __main__:149 | Aplicação encerrada (código 0).
2026-05-20 17:06:15 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-20 17:06:15 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-20 17:06:15 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-20 17:06:17 | INFO     | __main__:125 | API pronta.
2026-05-20 17:06:17 | INFO     | __main__:147 | Interface aberta. Aguardando o usuário.
2026-05-20 17:11:53 | INFO     | __main__:89 | Iniciando FinanceHub…
2026-05-20 17:11:53 | INFO     | __main__:105 | Subindo servidor FastAPI em 127.0.0.1:8765
2026-05-20 17:11:53 | INFO     | __main__:115 | Aguardando API ficar disponível em http://127.0.0.1:8765/health…
2026-05-20 17:11:55 | INFO     | __main__:125 | API pronta.
2026-05-20 17:11:55 | CRITICAL | __main__:131 | Falha ao importar a interface gráfica: 'Qt6Agg' is not a valid value for backend; supported values are ['gtk3agg', 'gtk3cairo', 'gtk4agg', 'gtk4cairo', 'macosx', 'nbagg', 'notebook', 'qtagg', 'qtcairo', 'qt5agg', 'qt5cairo', 'tkagg', 'tkcairo', 'webagg', 'wx', 'wxagg', 'wxcairo', 'agg', 'cairo', 'pdf', 'pgf', 'ps', 'svg', 'template']
2026-05-20 17:12:17 | INFO     | __main__:89 | Iniciando FinanceHub…
